,price
2015-03-10,3521000
2015-03-11,3522000
2015-03-12,3523000
2015-03-13,3527000
2015-03-14,3535000
2015-03-15,3534000
2015-03-16,3528000
2015-03-17,3522000
2015-03-18,3522000
2015-03-19,3526000
2015-03-20,3527000
2015-03-21,3530000
2015-03-22,3529000
2015-03-23,3527000
2015-03-24,3530000
2015-03-25,3528000
2015-03-26,3535000
2015-03-27,3527000
2015-03-28,3523000
2015-03-29,3526000
2015-03-30,3519000
2015-03-31,3513000
2015-04-01,3514000
2015-04-02,3521000
2015-04-03,3520000
2015-04-04,3525000
2015-04-05,3524000
2015-04-06,3530000
2015-04-07,3522000
2015-04-08,3519000
2015-04-09,3516000
2015-04-10,3519000
2015-04-11,3520000
2015-04-12,3519000
2015-04-13,3516000
2015-04-14,3512000
2015-04-15,3512000
2015-04-16,3517000
2015-04-17,3514000
2015-04-18,3515000
2015-04-19,3513000
2015-04-20,3507000
2015-04-21,3504000
2015-04-22,3507000
2015-04-23,3502000
2015-04-24,3505000
2015-04-25,3500000
2015-04-26,3499000
2015-04-27,3501000
2015-04-28,3505000
2015-04-29,3505000
2015-04-30,3505000
2015-05-01,3505000
2015-05-02,3505000
2015-05-03,3505000
2015-05-04,3499000
2015-05-05,3498000
2015-05-06,3499000
2015-05-07,3499000
2015-05-08,3500000
2015-05-09,3499000
2015-05-10,3500000
2015-05-11,3498000
2015-05-12,3496000
2015-05-13,3499000
2015-05-14,3503000
2015-05-15,3504000
2015-05-16,3508000
2015-05-17,3507500
2015-05-18,3505000
2015-05-19,3498000
2015-05-20,3497000
2015-05-21,3498000
2015-05-22,3495000
2015-05-23,3494000
2015-05-24,3493000
2015-05-25,3492000
2015-05-26,3489000
2015-05-27,3485000
2015-05-28,3487000
2015-05-29,3490000
2015-05-30,3491000
2015-05-31,3490000
2015-06-01,3489000
2015-06-02,3487000
2015-06-03,3487000
2015-06-04,3484000
2015-06-05,3477000
2015-06-06,3475000
2015-06-07,3476000
2015-06-08,3472000
2015-06-09,3473000
2015-06-10,3470000
2015-06-11,3467000
2015-06-12,3469000
2015-06-13,3469000
2015-06-14,3468000
2015-06-15,3466000
2015-06-16,3468000
2015-06-17,3466000
2015-06-18,3470000
2015-06-19,3470000
2015-06-20,3470000
2015-06-21,3469000
2015-06-22,3464000
2015-06-23,3452000
2015-06-24,3441000
2015-06-25,3435000
2015-06-26,3435000
2015-06-27,3436000
2015-06-28,3436000
2015-06-29,3442000
2015-06-30,3439000
2015-07-01,3436000
2015-07-02,3429000
2015-07-03,3428000
2015-07-04,3428000
2015-07-05,3428000
2015-07-06,3426000
2015-07-07,3422000
2015-07-08,3405000
2015-07-09,3400000
2015-07-10,3399000
2015-07-11,3400000
2015-07-12,3400000
2015-07-13,3394000
2015-07-14,3388000
2015-07-15,3367000
2015-07-16,3288000
2015-07-17,3324000
2015-07-18,3300000
2015-07-19,3300000
2015-07-20,3309000
2015-07-21,3309000
2015-07-22,3300000
2015-07-23,3308000
2015-07-24,3296000
2015-07-25,3306000
2015-07-26,3306000
2015-07-27,3300000
2015-07-28,3297000
2015-07-29,3300000
2015-07-30,3297000
2015-07-31,3296000
2015-08-01,3302000
2015-08-02,3302000
2015-08-03,3295000
2015-08-04,3291000
2015-08-05,3285000
2015-08-06,3279000
2015-08-07,3281000
2015-08-08,3282000
2015-08-09,3282000
2015-08-10,3285000
2015-08-11,3299000
2015-08-12,3345000
2015-08-13,3420000
2015-08-14,3384000
2015-08-15,3398000
2015-08-16,3398000
2015-08-17,3398000
2015-08-18,3398000
2015-08-19,3407000
2015-08-20,3423000
2015-08-21,3480000
2015-08-22,3490000
2015-08-23,3490000
2015-08-24,3504000
2015-08-25,3475000
2015-08-26,3420000
2015-08-27,3390000
2015-08-28,3420000
2015-08-29,3422000
2015-08-30,3422000
2015-08-31,3420000
2015-09-01,3429000
2015-09-02,3429000
2015-09-03,3405000
2015-09-04,3403000
2015-09-05,3406000
2015-09-06,3406000
2015-09-07,3400000
2015-09-08,3404000
2015-09-09,3406000
2015-09-10,3400000
2015-09-11,3398000
2015-09-12,3396000
2015-09-13,3396000
2015-09-14,3397000
2015-09-15,3398000
2015-09-16,3401000
2015-09-17,3403000
2015-09-18,3417000
2015-09-19,3419000
2015-09-20,3419000
2015-09-21,3416000
2015-09-22,3401000
2015-09-23,3396000
2015-09-24,3401000
2015-09-25,3403000
2015-09-26,3402000
2015-09-27,3402000
2015-09-28,3389000
2015-09-29,3378000
2015-09-30,3380000
2015-10-01,3374000
2015-10-02,3369000
2015-10-03,3387000
2015-10-04,3387000
2015-10-05,3378000
2015-10-06,3377000
2015-10-07,3381000
2015-10-08,3379000
2015-10-09,3383000
2015-10-10,3385000
2015-10-11,3385000
2015-10-12,3395000
2015-10-13,3386000
2015-10-14,3394000
2015-10-15,3410000
2015-10-16,3402000
2015-10-17,3396000
2015-10-18,3396000
2015-10-19,3389000
2015-10-20,3385000
2015-10-21,3387000
2015-10-22,3386000
2015-10-23,3390000
2015-10-24,3386000
2015-10-25,3386000
2015-10-26,3385000
2015-10-27,3383000
2015-10-28,3385000
2015-10-29,3378000
2015-10-30,3371000
2015-10-31,3370000
2015-11-01,3370000
2015-11-02,3367000
2015-11-03,3362000
2015-11-04,3345000
2015-11-05,3327000
2015-11-06,3339000
2015-11-07,3332000
2015-11-08,3332000
2015-11-09,3335000
2015-11-10,3336000
2015-11-11,3333000
2015-11-12,3332000
2015-11-13,3325000
2015-11-14,3326000
2015-11-15,3326000
2015-11-16,3339000
2015-11-17,3332000
2015-11-18,3320000
2015-11-19,3326000
2015-11-20,3333000
2015-11-21,3327000
2015-11-22,3327000
2015-11-23,3320000
2015-11-24,3319000
2015-11-25,3319000
2015-11-26,3320000
2015-11-27,3316000
2015-11-28,3309000
2015-11-29,3309000
2015-11-30,3298000
2015-12-01,3304000
2015-12-02,3299000
2015-12-03,3285000
2015-12-04,3294000
2015-12-05,3312000
2015-12-06,3312000
2015-12-07,3314000
2015-12-08,3310000
2015-12-09,3312000
2015-12-10,3308000
2015-12-11,3305000
2015-12-12,3306000
2015-12-13,3306000
2015-12-14,3303000
2015-12-15,3295000
2015-12-16,3299000
2015-12-17,3294000
2015-12-18,3289000
2015-12-19,3294000
2015-12-20,3294000
2015-12-21,3295000
2015-12-22,3296000
2015-12-23,3292000
2015-12-24,3297000
2015-12-25,3291000
2015-12-26,3296000
2015-12-27,3296000
2015-12-28,3287000
2015-12-29,3279000
2015-12-30,3262000
2015-12-31,3245000
2016-01-01,3245000
2016-01-02,3245000
2016-01-03,3245000
2016-01-04,3283000
2016-01-05,3281000
2016-01-06,3280000
2016-01-07,3292000
2016-01-08,3297000
2016-01-09,3303000
2016-01-10,3303000
2016-01-11,3302000
2016-01-12,3294000
2016-01-13,3276000
2016-01-14,3281000
2016-01-15,3277000
2016-01-16,3281000
2016-01-17,3281000
2016-01-18,3273000
2016-01-19,3274000
2016-01-20,3273000
2016-01-21,3278000
2016-01-22,3277000
2016-01-23,3278000
2016-01-24,3278000
2016-01-25,3285000
2016-01-26,3281000
2016-01-27,3285000
2016-01-28,3283000
2016-01-29,3277000
2016-01-30,3281000
2016-01-31,3281000
2016-02-01,3283000
2016-02-02,3288000
2016-02-03,3294000
2016-02-04,3311000
2016-02-05,3302000
2016-02-06,3302000
2016-02-07,3302000
2016-02-08,3302000
2016-02-09,3302000
2016-02-10,3302000
2016-02-11,3302000
2016-02-12,3302000
2016-02-13,3302000
2016-02-14,3302000
2016-02-15,3348000
2016-02-16,3355000
2016-02-17,3324000
2016-02-18,3330000
2016-02-19,3343000
2016-02-20,3346000
2016-02-21,3346000
2016-02-22,3328000
2016-02-23,3333000
2016-02-24,3348000
2016-02-25,3348000
2016-02-26,3340000
2016-02-27,3334000
2016-02-28,3334000
2016-02-29,3342000
2016-03-01,3350000
2016-03-02,3337000
2016-03-03,3339000
2016-03-04,3388000
2016-03-05,3379000
2016-03-06,3379000
2016-03-07,3390000
2016-03-08,3398000
2016-03-09,3376000
2016-03-10,3362000
2016-03-11,3383000
2016-03-12,3370000
2016-03-13,3370000
2016-03-14,3380000
2016-03-15,3359000
2016-03-16,3353000
2016-03-17,3375000
2016-03-18,3375000
2016-03-19,3373000
2016-03-20,3373000
2016-03-21,3357000
2016-03-22,3359000
2016-03-23,3348000
2016-03-24,3326000
2016-03-25,3327000
2016-03-26,3328000
2016-03-27,3328000
2016-03-28,3315000
2016-03-29,3313000
2016-03-30,3319000
2016-03-31,3320000
2016-04-01,3319000
2016-04-02,3313000
2016-04-03,3313000
2016-04-04,3312000
2016-04-05,3316000
2016-04-06,3310000
2016-04-07,3321000
2016-04-08,3316000
2016-04-09,3319000
2016-04-10,3319000
2016-04-11,3331000
2016-04-12,3346000
2016-04-13,3332000
2016-04-14,3326000
2016-04-15,3321000
2016-04-16,3321000
2016-04-17,3321000
2016-04-18,3321000
2016-04-19,3321000
2016-04-20,3331000
2016-04-21,3342000
2016-04-22,3333000
2016-04-23,3324000
2016-04-24,3324000
2016-04-25,3318000
2016-04-26,3319000
2016-04-27,3322000
2016-04-28,3341000
2016-04-29,3365000
2016-04-30,3365000
2016-05-01,3365000
2016-05-02,3365000
2016-05-03,3365000
2016-05-04,3384000
2016-05-05,3379000
2016-05-06,3393000
2016-05-07,3406000
2016-05-08,3406000
2016-05-09,3388000
2016-05-10,3378000
2016-05-11,3394000
2016-05-12,3389000
2016-05-13,3399000
2016-05-14,3394000
2016-05-15,3394000
2016-05-16,3408000
2016-05-17,3403000
2016-05-18,3403000
2016-05-19,3386000
2016-05-20,3389000
2016-05-21,3382000
2016-05-22,3382000
2016-05-23,3378000
2016-05-24,3364000
2016-05-25,3329000
2016-05-26,3340000
2016-05-27,3330000
2016-05-28,3328000
2016-05-29,3328000
2016-05-30,3318000
2016-05-31,3325000
2016-06-01,3336000
2016-06-02,3334000
2016-06-03,3329000
2016-06-04,3357000
2016-06-05,3357000
2016-06-06,3349000
2016-06-07,3345000
2016-06-08,3354000
2016-06-09,3367000
2016-06-10,3382000
2016-06-11,3394000
2016-06-12,3394000
2016-06-13,3415000
2016-06-14,3404000
2016-06-15,3414000
2016-06-16,3464000
2016-06-17,3423000
2016-06-18,3456000
2016-06-19,3456000
2016-06-20,3433000
2016-06-21,3422000
2016-06-22,3385000
2016-06-23,3400000
2016-06-24,3468000
2016-06-25,3485000
2016-06-26,3485000
2016-06-27,3508000
2016-06-28,3482000
2016-06-29,3506000
2016-06-30,3509000
2016-07-01,3543000
2016-07-02,3562000
2016-07-03,3562000
2016-07-04,3650000
2016-07-05,3655000
2016-07-06,3860000
2016-07-07,3680000
2016-07-08,3665000
2016-07-09,3710000
2016-07-10,3710000
2016-07-11,3705000
2016-07-12,3700000
2016-07-13,3673000
2016-07-14,3662000
2016-07-15,3665000
2016-07-16,3680000
2016-07-17,3680000
2016-07-18,3660000
2016-07-19,3660000
2016-07-20,3658000
2016-07-21,3649000
2016-07-22,3650000
2016-07-23,3644000
2016-07-24,3644000
2016-07-25,3639000
2016-07-26,3645000
2016-07-27,3639000
2016-07-28,3661000
2016-07-29,3646000
2016-07-30,3662000
2016-07-31,3662000
2016-08-01,3664000
2016-08-02,3677000
2016-08-03,3689000
2016-08-04,3676000
2016-08-05,3679000
2016-08-06,3641000
2016-08-07,3641000
2016-08-08,3643000
2016-08-09,3650000
2016-08-10,3668000
2016-08-11,3660000
2016-08-12,3651000
2016-08-13,3654000
2016-08-14,3654000
2016-08-15,3662000
2016-08-16,3668000
2016-08-17,3659000
2016-08-18,3663000
2016-08-19,3661000
2016-08-20,3655000
2016-08-21,3655000
2016-08-22,3651000
2016-08-23,3653000
2016-08-24,3651000
2016-08-25,3645000
2016-08-26,3650000
2016-08-27,3645000
2016-08-28,3645000
2016-08-29,3639000
2016-08-30,3637000
2016-08-31,3625000
2016-09-01,3605000
2016-09-02,3605000
2016-09-03,3605000
2016-09-04,3605000
2016-09-05,3627000
2016-09-06,3629000
2016-09-07,3646000
2016-09-08,3645000
2016-09-09,3631000
2016-09-10,3622000
2016-09-11,3622000
2016-09-12,3620000
2016-09-13,3622000
2016-09-14,3620000
2016-09-15,3616000
2016-09-16,3611000
2016-09-17,3609000
2016-09-18,3609000
2016-09-19,3614000
2016-09-20,3614000
2016-09-21,3622000
2016-09-22,3626000
2016-09-23,3624000
2016-09-24,3624000
2016-09-25,3624000
2016-09-26,3618000
2016-09-27,3616000
2016-09-28,3606000
2016-09-29,3604000
2016-09-30,3613000
2016-10-01,3605000
2016-10-02,3605000
2016-10-03,3602000
2016-10-04,3594000
2016-10-05,3540000
2016-10-06,3539000
2016-10-07,3538000
2016-10-08,3545000
2016-10-09,3545000
2016-10-10,3560000
2016-10-11,3556000
2016-10-12,3553000
2016-10-13,3555000
2016-10-14,3556000
2016-10-15,3554000
2016-10-16,3554000
2016-10-17,3555000
2016-10-18,3557000
2016-10-19,3563000
2016-10-20,3562000
2016-10-21,3558000
2016-10-22,3559000
2016-10-23,3559000
2016-10-24,3562000
2016-10-25,3565000
2016-10-26,3570000
2016-10-27,3569000
2016-10-28,3567000
2016-10-29,3574000
2016-10-30,3574000
2016-10-31,3573000
2016-11-01,3584000
2016-11-02,3623000
2016-11-03,3605000
2016-11-04,3610000
2016-11-05,3605000
2016-11-06,3605000
2016-11-07,3595000
2016-11-08,3598000
2016-11-09,3670000
2016-11-10,3620000
2016-11-11,3590000
2016-11-12,3550000
2016-11-13,3550000
2016-11-14,3570000
2016-11-15,3575000
2016-11-16,3582000
2016-11-17,3580000
2016-11-18,3564000
2016-11-19,3572000
2016-11-20,3572000
2016-11-21,3573000
2016-11-22,3580000
2016-11-23,3570000
2016-11-24,3546000
2016-11-25,3553000
2016-11-26,3562000
2016-11-27,3562000
2016-11-28,3564000
2016-11-29,3568000
2016-11-30,3572000
2016-12-01,3568000
2016-12-02,3590000
2016-12-03,3603000
2016-12-04,3603000
2016-12-05,3615000
2016-12-06,3635000
2016-12-07,3613000
2016-12-08,3625000
2016-12-09,3590000
2016-12-10,3575000
2016-12-11,3575000
2016-12-12,3580000
2016-12-13,3595000
2016-12-14,3610000
2016-12-15,3565000
2016-12-16,3562000
2016-12-17,3575000
2016-12-18,3575000
2016-12-19,3595000
2016-12-20,3605000
2016-12-21,3610000
2016-12-22,3598000
2016-12-23,3602000
2016-12-24,3614000
2016-12-25,3614000
2016-12-26,3600000
2016-12-27,3615000
2016-12-28,3620000
2016-12-29,3595000
2016-12-30,3580000
2016-12-31,3500000
2017-01-01,3500000
2017-01-02,3500000
2017-01-03,3623000
2017-01-04,3636000
2017-01-05,3647000
2017-01-06,3642000
2017-01-07,3650000
2017-01-08,3650000
2017-01-09,3642000
2017-01-10,3644000
2017-01-11,3647000
2017-01-12,3664000
2017-01-13,3656000
2017-01-14,3656000
2017-01-15,3656000
2017-01-16,3655000
2017-01-17,3660000
2017-01-18,3660000
2017-01-19,3648000
2017-01-20,3648000
2017-01-21,3650000
2017-01-22,3650000
2017-01-23,3660000
2017-01-24,3678000
2017-01-25,3677000
2017-01-26,3677000
2017-01-27,3677000
2017-01-28,3677000
2017-01-29,3677000
2017-01-30,3677000
2017-01-31,3677000
2017-02-01,3677000
2017-02-02,3758000
2017-02-03,3730000
2017-02-04,3720000
2017-02-05,3720000
2017-02-06,3667000
2017-02-07,3673000
2017-02-08,3690000
2017-02-09,3712000
2017-02-10,3686000
2017-02-11,3691000
2017-02-12,3691000
2017-02-13,3675000
2017-02-14,3677000
2017-02-15,3682000
2017-02-16,3693000
2017-02-17,3690000
2017-02-18,3681000
2017-02-19,3681000
2017-02-20,3685000
2017-02-21,3676000
2017-02-22,3682000
2017-02-23,3676000
2017-02-24,3688000
2017-02-25,3684000
2017-02-26,3684000
2017-02-27,3678000
2017-02-28,3676000
2017-03-01,3678000
2017-03-02,3677000
2017-03-03,3669000
2017-03-04,3674000
2017-03-05,3674000
2017-03-06,3665000
2017-03-07,3659000
2017-03-08,3649000
2017-03-09,3649000
2017-03-10,3646000
2017-03-11,3652000
2017-03-12,3652000
2017-03-13,3655000
2017-03-14,3654000
2017-03-15,3655000
2017-03-16,3667000
2017-03-17,3659000
2017-03-18,3661000
2017-03-19,3661000
2017-03-20,3657000
2017-03-21,3650000
2017-03-22,3654000
2017-03-23,3654000
2017-03-24,3649000
2017-03-25,3655000
2017-03-26,3655000
2017-03-27,3650000
2017-03-28,3653000
2017-03-29,3650000
2017-03-30,3643000
2017-03-31,3635000
2017-04-01,3641000
2017-04-02,3641000
2017-04-03,3638000
2017-04-04,3644000
2017-04-05,3640000
2017-04-06,3640000
2017-04-07,3649000
2017-04-08,3649000
2017-04-09,3649000
2017-04-10,3646000
2017-04-11,3647000
2017-04-12,3662000
2017-04-13,3677000
2017-04-14,3702000
2017-04-15,3697000
2017-04-16,3697000
2017-04-17,3677000
2017-04-18,3673000
2017-04-19,3665000
2017-04-20,3666000
2017-04-21,3673000
2017-04-22,3674000
2017-04-23,3674000
2017-04-24,3664000
2017-04-25,3663000
2017-04-26,3662000
2017-04-27,3663000
2017-04-28,3672000
2017-04-29,3672000
2017-04-30,3672000
2017-05-01,3672000
2017-05-02,3672000
2017-05-03,3657000
2017-05-04,3643000
2017-05-05,3653000
2017-05-06,3650000
2017-05-07,3650000
2017-05-08,3650000
2017-05-09,3648000
2017-05-10,3644000
2017-05-11,3643000
2017-05-12,3649000
2017-05-13,3649000
2017-05-14,3649000
2017-05-15,3648000
2017-05-16,3649000
2017-05-17,3651000
2017-05-18,3658000
2017-05-19,3651000
2017-05-20,3651000
2017-05-21,3651000
2017-05-22,3648000
2017-05-23,3647000
2017-05-24,3642000
2017-05-25,3641000
2017-05-26,3648000
2017-05-27,3647000
2017-05-28,3647000
2017-05-29,3640000
2017-05-30,3634000
2017-05-31,3632000
2017-06-01,3631000
2017-06-02,3631000
2017-06-03,3643000
2017-06-04,3643000
2017-06-05,3642000
2017-06-06,3644000
2017-06-07,3648000
2017-06-08,3643000
2017-06-09,3640000
2017-06-10,3634000
2017-06-11,3634000
2017-06-12,3633000
2017-06-13,3629000
2017-06-14,3634000
2017-06-15,3631000
2017-06-16,3626000
2017-06-17,3628000
2017-06-18,3628000
2017-06-19,3625000
2017-06-20,3627000
2017-06-21,3623000
2017-06-22,3629000
2017-06-23,3634000
2017-06-24,3635000
2017-06-25,3635000
2017-06-26,3622000
2017-06-27,3626000
2017-06-28,3626000
2017-06-29,3626000
2017-06-30,3626000
2017-07-01,3627000
2017-07-02,3627000
2017-07-03,3621000
2017-07-04,3616000
2017-07-05,3617000
2017-07-06,3619000
2017-07-07,3620000
2017-07-08,3616000
2017-07-09,3616000
2017-07-10,3615000
2017-07-11,3614000
2017-07-12,3620000
2017-07-13,3624000
2017-07-14,3622000
2017-07-15,3629000
2017-07-16,3629000
2017-07-17,3630000
2017-07-18,3632000
2017-07-19,3628000
2017-07-20,3626000
2017-07-21,3628000
2017-07-22,3630000
2017-07-23,3630000
2017-07-24,3628000
2017-07-25,3621000
2017-07-26,3616000
2017-07-27,3622000
2017-07-28,3621000
2017-07-29,3623000
2017-07-30,3623000
2017-07-31,3620000
2017-08-01,3620000
2017-08-02,3621000
2017-08-03,3624000
2017-08-04,3628000
2017-08-05,3625000
2017-08-06,3625000
2017-08-07,3621000
2017-08-08,3620000
2017-08-09,3619000
2017-08-10,3631000
2017-08-11,3641000
2017-08-12,3641000
2017-08-13,3641000
2017-08-14,3636000
2017-08-15,3625000
2017-08-16,3621000
2017-08-17,3630000
2017-08-18,3641000
2017-08-19,3638000
2017-08-20,3638000
2017-08-21,3636000
2017-08-22,3632000
2017-08-23,3631000
2017-08-24,3629000
2017-08-25,3634000
2017-08-26,3637000
2017-08-27,3637000
2017-08-28,3636000
2017-08-29,3658000
2017-08-30,3648000
2017-08-31,3644000
2017-09-01,3652000
2017-09-02,3652000
2017-09-03,3652000
2017-09-04,3652000
2017-09-05,3666000
2017-09-06,3692000
2017-09-07,3695000
2017-09-08,3713000
2017-09-09,3700000
2017-09-10,3700000
2017-09-11,3686000
2017-09-12,3660000
2017-09-13,3664000
2017-09-14,3658000
2017-09-15,3670000
2017-09-16,3669000
2017-09-17,3669000
2017-09-18,3665000
2017-09-19,3665000
2017-09-20,3670000
2017-09-21,3656000
2017-09-22,3657000
2017-09-23,3661000
2017-09-24,3661000
2017-09-25,3659000
2017-09-26,3660000
2017-09-27,3649000
2017-09-28,3646000
2017-09-29,3653000
2017-09-30,3648000
2017-10-01,3648000
2017-10-02,3637000
2017-10-03,3634000
2017-10-04,3642000
2017-10-05,3648000
2017-10-06,3644000
2017-10-07,3648000
2017-10-08,3648000
2017-10-09,3650000
2017-10-10,3652000
2017-10-11,3651000
2017-10-12,3654000
2017-10-13,3653000
2017-10-14,3658000
2017-10-15,3658000
2017-10-16,3656000
2017-10-17,3643000
2017-10-18,3638000
2017-10-19,3639000
2017-10-20,3640000
2017-10-21,3641000
2017-10-22,3641000
2017-10-23,3642000
2017-10-24,3639000
2017-10-25,3635000
2017-10-26,3637000
2017-10-27,3638000
2017-10-28,3642000
2017-10-29,3642000
2017-10-30,3638000
2017-10-31,3646000
2017-11-01,3652000
2017-11-02,3651000
2017-11-03,3648000
2017-11-04,3647000
2017-11-05,3647000
2017-11-06,3651000
2017-11-07,3650000
2017-11-08,3652000
2017-11-09,3652000
2017-11-10,3651000
2017-11-11,3650000
2017-11-12,3650000
2017-11-13,3649000
2017-11-14,3640000
2017-11-15,3650000
2017-11-16,3641000
2017-11-17,3642000
2017-11-18,3649000
2017-11-19,3649000
2017-11-20,3645000
2017-11-21,3646000
2017-11-22,3648000
2017-11-23,3645000
2017-11-24,3647000
2017-11-25,3640000
2017-11-26,3647000
2017-11-27,3643000
2017-11-28,3647000
2017-11-29,3645000
2017-11-30,3640000
2017-12-01,3641000
2017-12-02,3643000
2017-12-03,3643000
2017-12-04,3642000
2017-12-05,3638000
2017-12-06,3637000
2017-12-07,3634000
2017-12-08,3625000
2017-12-09,3629000
2017-12-10,3629000
2017-12-11,3639000
2017-12-12,3635000
2017-12-13,3635000
2017-12-14,3638000
2017-12-15,3639000
2017-12-16,3641000
2017-12-17,3641000
2017-12-18,3638000
2017-12-19,3641000
2017-12-20,3636000
2017-12-21,3637000
2017-12-22,3641000
2017-12-23,3647000
2017-12-24,3647000
2017-12-25,3644000
2017-12-26,3642000
2017-12-27,3646000
2017-12-28,3647000
2017-12-29,3648000
2017-12-30,3654000
2017-12-31,3654000
2018-01-01,3654000
2018-01-02,3663000
2018-01-03,3658000
2018-01-04,3652000
2018-01-05,3656000
2018-01-06,3654000
2018-01-07,3654000
2018-01-08,3648000
2018-01-09,3649000
2018-01-10,3650000
2018-01-11,3652000
2018-01-12,3668000
2018-01-13,3682000
2018-01-14,3682000
2018-01-15,3686000
2018-01-16,3674000
2018-01-17,3674000
2018-01-18,3666000
2018-01-19,3675000
2018-01-20,3673000
2018-01-21,3673000
2018-01-22,3676000
2018-01-23,3676000
2018-01-24,3690000
2018-01-25,3706000
2018-01-26,3699000
2018-01-27,3693000
2018-01-28,3693000
2018-01-29,3683000
2018-01-30,3680000
2018-01-31,3676000
2018-02-01,3676000
2018-02-02,3681000
2018-02-03,3675000
2018-02-04,3675000
2018-02-05,3673000
2018-02-06,3681000
2018-02-07,3674000
2018-02-08,3658000
2018-02-09,3668000
2018-02-10,3681000
2018-02-11,3681000
2018-02-12,3688000
2018-02-13,3692000
2018-02-14,3692000
2018-02-15,3692000
2018-02-16,3692000
2018-02-17,3692000
2018-02-18,3692000
2018-02-19,3692000
2018-02-20,3692000
2018-02-21,3700000
2018-02-22,3694000
2018-02-23,3690000
2018-02-24,3685000
2018-02-25,3685000
2018-02-26,3688000
2018-02-27,3680000
2018-02-28,3662000
2018-03-01,3656000
2018-03-02,3666000
2018-03-03,3673000
2018-03-04,3673000
2018-03-05,3673000
2018-03-06,3671000
2018-03-07,3672000
2018-03-08,3671000
2018-03-09,3667000
2018-03-10,3671000
2018-03-11,3671000
2018-03-12,3663000
2018-03-13,3662000
2018-03-14,3666000
2018-03-15,3667000
2018-03-16,3669000
2018-03-17,3662000
2018-03-18,3662000
2018-03-19,3658000
2018-03-20,3658000
2018-03-21,3660000
2018-03-22,3665000
2018-03-23,3680000
2018-03-24,3693000
2018-03-25,3693000
2018-03-26,3692000
2018-03-27,3690000
2018-03-28,3677000
2018-03-29,3660000
2018-03-30,3672000
2018-03-31,3667000
2018-04-01,3667000
2018-04-02,3670000
2018-04-03,3676000
2018-04-04,3682000
2018-04-05,3665000
2018-04-06,3667000
2018-04-07,3669000
2018-04-08,3669000
2018-04-09,3668000
2018-04-10,3675000
2018-04-11,3683000
2018-04-12,3689000
2018-04-13,3685000
2018-04-14,3699000
2018-04-15,3699000
2018-04-16,3692000
2018-04-17,3690000
2018-04-18,3690000
2018-04-19,3692000
2018-04-20,3682000
2018-04-21,3680000
2018-04-22,3680000
2018-04-23,3669000
2018-04-24,3671000
2018-04-25,3671000
2018-04-26,3667000
2018-04-27,3667000
2018-04-28,3667000
2018-04-29,3667000
2018-04-30,3667000
2018-05-01,3667000
2018-05-02,3661000
2018-05-03,3666000
2018-05-04,3661000
2018-05-05,3664000
2018-05-06,3664000
2018-05-07,3662000
2018-05-08,3660000
2018-05-09,3661000
2018-05-10,3664000
2018-05-11,3670000
2018-05-12,3669000
2018-05-13,3669000
2018-05-14,3667000
2018-05-15,3662000
2018-05-16,3654000
2018-05-17,3654000
2018-05-18,3655000
2018-05-19,3662000
2018-05-20,3662000
2018-05-21,3657000
2018-05-22,3656000
2018-05-23,3660000
2018-05-24,3661000
2018-05-25,3665000
2018-05-26,3663000
2018-05-27,3663000
2018-05-28,3660000
2018-05-29,3664000
2018-05-30,3661000
2018-05-31,3662000
2018-06-01,3663000
2018-06-02,3661000
2018-06-03,3661000
2018-06-04,3660000
2018-06-05,3660000
2018-06-06,3660000
2018-06-07,3662000
2018-06-08,3668000
2018-06-09,3670000
2018-06-10,3670000
2018-06-11,3680000
2018-06-12,3692000
2018-06-13,3684000
2018-06-14,3685000
2018-06-15,3685000
2018-06-16,3672000
2018-06-17,3672000
2018-06-18,3680000
2018-06-19,3680000
2018-06-20,3680000
2018-06-21,3673000
2018-06-22,3684000
2018-06-23,3682000
2018-06-24,3682000
2018-06-25,3680000
2018-06-26,3671000
2018-06-27,3672000
2018-06-28,3667000
2018-06-29,3662000
2018-06-30,3667000
2018-07-01,3667000
2018-07-02,3672000
2018-07-03,3671000
2018-07-04,3670000
2018-07-05,3672000
2018-07-06,3678000
2018-07-07,3681000
2018-07-08,3681000
2018-07-09,3689000
2018-07-10,3686000
2018-07-11,3688000
2018-07-12,3684000
2018-07-13,3689000
2018-07-14,3688000
2018-07-15,3688000
2018-07-16,3684000
2018-07-17,3681000
2018-07-18,3664000
2018-07-19,3660000
2018-07-20,3671000
2018-07-21,3677000
2018-07-22,3677000
2018-07-23,3678000
2018-07-24,3682000
2018-07-25,3686000
2018-07-26,3676000
2018-07-27,3677000
2018-07-28,3678000
2018-07-29,3678000
2018-07-30,3677000
2018-07-31,3671000
2018-08-01,3672000
2018-08-02,3666000
2018-08-03,3668000
2018-08-04,3672000
2018-08-05,3672000
2018-08-06,3671000
2018-08-07,3674000
2018-08-08,3666000
2018-08-09,3670000
2018-08-10,3670000
2018-08-11,3671000
2018-08-12,3671000
2018-08-13,3665000
2018-08-14,3664000
2018-08-15,3663000
2018-08-16,3665000
2018-08-17,3664000
2018-08-18,3668000
2018-08-19,3668000
2018-08-20,3663000
2018-08-21,3663000
2018-08-22,3666000
2018-08-23,3663000
2018-08-24,3665000
2018-08-25,3669000
2018-08-26,3669000
2018-08-27,3667000
2018-08-28,3667000
2018-08-29,3662000
2018-08-30,3665000
2018-08-31,3666000
2018-09-01,3666000
